CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
LAGOS 2025 (BONOMO),10/11/2025,,Lunes,9:00,18:00,0,1308,,,
Ingeniería de Software II ,,,Lunes,17:00,22:00,0,1308,DC,Galeotti,2º cuatrimestre de 2025
Rectorado Weinberg CyT rectorado Primbas,10/11/2025,,Lunes,9:00,14:00,0,1309,,,
Biometría ,,,Lunes,18:30,21:30,0,1309,EGE,Cittadino,2º cuatrimestre de 2025
Oxford Nanopore Day (Schepens),20/10/2025,,Lunes,9:00,17:00,0,1401,,,
reserva Weinberg,27/10/2025,NO CONFIRMO,Lunes,9:00,17:00,0,1401,,,
LAGOS 2025 (BONOMO),10/11/2025,,Lunes,9:00,19:00,0,1401,,,
Phonons 2025 (Bragas) ,1/12/2025,,Lunes,9:00,18:00,0,1401,,,
Summer school Deep Learning - secretaria.liaa,20/10/2025,,Lunes,9:00,17:00,0,1402,,,
LAGOS 2025 (BONOMO),10/11/2025,,Lunes,9:00,18:00,0,1402,,,
Reserva Relaciones Institucionales/Charla sobre intercambio internacional para estudiantes de grado,17/11/2025,,Lunes,12:00,16:00,0,1402,,,
Ingeniería de Software II ,´06/10/2025,,Lunes,17:00,22:00,0,1403,,,
LAGOS 2025 (BONOMO),10/11/2025,,Lunes,9:00,18:00,0,1403,,,
MATEMAX 2025  (KRICK),15/12/2025,,Lunes,9:00,18:00,0,1403,,,
Física Teórica 3 ,,,Lunes,9:00,14:00,1,2,DF,Perez Nadal/Zanguinetti,2º cuatrimestre de 2025
Análisis II-Matemática 3,,Turno 4,Lunes,14:00,19:00,1,2,DM,Mastroberti,2º cuatrimestre de 2025
Análisis II-Matemática 3,,Turno 2,Lunes,9:00,14:00,1,3,DM,Maas/Guadalupe,2º cuatrimestre de 2025
Análisis II-Matemática 3,,Turno 3,Lunes,17:00,22:00,1,3,DM,De Napoli/Ceresa,2º cuatrimestre de 2025
Combinatoria,,,Lunes,14:00,17:00,1,4,DM,Barmak,2º cuatrimestre de 2025
Matemática I ,,Turno B,Lunes,17:00,22:00,1,5,DM,Armentano/Rodríguez Cartabia,2º cuatrimestre de 2025
Análisis Matemático 1,,,Lunes,17:30,22:00,1,6,DM,Kuna/Acri,2º cuatrimestre de 2025
Laboratorio de Electrónica,,,Lunes,18:00,21:00,1,7,,Schmiegelow ,4º bimestre
Mecánica Cláisca,,,Lunes,9:00,14:00,1,8,DF,Rodrigues Ferreira/Badia,2º cuatrimestre de 2025
Introducción al Modelado Continuo-Ecuaciones de la Física Matemática,,,Lunes,14:00,16:00,1,8,DF,Mindlin,2º cuatrimestre de 2025
Arquitectura y Organización de Computadores-Organización del Computador II ,,Turno 1,Lunes,17:00,22:00,1,8,DC,Cervetto/Furfaro,2º cuatrimestre de 2025
Matemática I ,,Turno A,Lunes,9:00,14:00,1,9,DM,Rodríguez Cartabia/Kun,2º cuatrimestre de 2025
Arquitectura y Organización de Computadores-Organización del Computador II ,,Turno 2,Lunes,17:00,19:00,1,9,DC,Cervetto/Furfaro,2º cuatrimestre de 2025
Climatología,,,Lunes,8:00,13:00,1,Labo 1,DCAO,Robleto/Ayala,2º cuatrimestre de 2025
Informática Educativa,,,Lunes,18:00,20:00,1,Labo 1,CCPEMS,Chacín,2º cuatrimestre de 2025
Procesamiento de Imágenes I ,,,Lunes,14:00,17:00,1,Labo 2,DC,Buemi,3º bimestre de 2025
Algoritmos y Estructuras de Datos III-Técnicas de Diseño de Algoritmos,,Turno Mañana,Lunes,9:00,13:00,1,Magna,DC,Bemdersky/Bianchi/Gaggion/Lin,2º cuatrimestre de 2025
Algoritmos y Estructuras de Datos III-Técnicas de Diseño de Algoritmos,,Turno Noche,Lunes,17:00,21:00,1,Magna,DC,Bemdersky/Bianchi/Gaggion/Lin,2º cuatrimestre de 2025
Física 3 ,,Turno A,Lunes,9:00,14:00,2,3,DF,Bertucci/Buccino,2º cuatrimestre de 2025
Análisis I-Matemática 1,,Turno 1,Lunes,9:00,14:00,2,5,DM,Larotonda/Saintier/Slezak/Raffa,2º cuatrimestre de 2025
Análisis I-Matemática 1,,Turno Tarde,Lunes,14:00,19:00,2,5,DM,Maas/Villafañe,2º cuatrimestre de 2025
Análisis I-Matemática 1,,Turno 2,Lunes,9:00,14:00,2,6,DM,Larotonda/Saintier/Slezak/Raffa,2º cuatrimestre de 2025
Química Orgánica ,,,Lunes,15:00,17:00,2,6,QO,Duran Fernando,2º cuatrimestre de 2025
Análisis I-Matemática 1,,Turno Noche,Lunes,17:00,22:00,2,6,DM,Cesaratto/Honore,2º cuatrimestre de 2025
Análisis II-Matemática 3 ,,Turno 1,Lunes,9:00,14:00,2,12,DM,Pinasco/Guadalupe,2º cuatrimestre de 2025
Cálculo Numérico-Elementos de Cálculo numérico ,,,Lunes,16:00,19:00,2,12,DM,Etcheverry/Pedersen,2º cuatrimestre de 2025
Cálculo Numérico-Elementos de Cálculo numérico ,,,Lunes,19:00,21:00,2,12,DM,Etcheverry/Pedersen,2º cuatrimestre de 2025
Didáctica Especial y Práctica de la Enseñanza II ,,,Lunes,10:00,16:00,2,15,CCPEMS,Cambriglia,2º cuatrimestre de 2025
Psicología y Aprendizaje ,,,Lunes,18:00,20:00,2,15,CCPEMS,Acevedo,2º cuatrimestre de 2025
Química Inorgánica 1 ,,Turno 1,Lunes,9:00,11:00,2,111,QI,Di Salvo,2º cuatrimestre de 2025
Química Inorgánica 2 ,,Turno 1,Lunes,13:00,17:00,2,111,QI,Baraldo,2º cuatrimestre de 2025
Química Inorgánica 2 ,,Turno 2,Lunes,18:00,22:00,2,111,QI,Baraldo,2º cuatrimestre de 2025
Histología Animal-De los Tejidos a la Organografía Animal Organografía Microscópica de Vertebrados-Morfología Funcional de los Tejidos Animales ,,,Lunes,14:00,16:00,2,112,BBE,Hermida,2º cuatrimestre de 2025
Introducción a la Ingeniería de Costas ,,,Lunes,14:00,18:00,2,113,DCAO,Alonso/Salimberti,2º cuatrimestre de 2025
Instrumentos y Métodos de Observación Oceanográficos ,,,Lunes,8:00,13:00,2,114,DCAO,Danieli/Cornejo,2º cuatrimestre de 2025
Sistemática de Plantas Vasculares-Tópicos en Sistemática de Plantas Vasculares ,,,Lunes,15:00,17:00,2,115,BBE,Iannone,2º cuatrimestre de 2025
Genética y Ecología Molecular-Genética y Ecología Molecular I ,,,Lunes,17:30,20:00,2,115,EGE,Confalonieri,2º cuatrimestre de 2025
Paleo y Neoclima ,,,Lunes,8:00,10:00,2,116,DCAO,Doyle,2º cuatrimestre de 2025
Química de Alimentos,29/09/2025,,Lunes,17:00,21:00,2,212,,,
Concurso DBBE,06/10/2025,,Lunes,13:00,16:00,2,212,,,
Concurso DBBE,13/10/2025,,Lunes,13:00,16:00,2,212,,,
Ecología de Poblaciones-Tópicos Avanzados en Ecología de Poblaciones ,,,Lunes,9:00,14:00,2,Sala A,EGE,Cardinal,2º cuatrimestre de 2025
Genética y Ecología Molecular-Genética y Ecología Molecular I ,,,Lunes,14:00,17:00,2,Sala A,EGE,Confalonieri,2º cuatrimestre de 2025
Paleo y Neoclima ,,,Lunes,10:00,13:00,2,Sala B,DCAO,Blanco,2º cuatrimestre de 2025
Ecología de Paísajes y Regiones,29/9/2025,,Lunes,14:00,21:00,2,Sala B,,,
Química Inorgánica 1 ,,Turno 2,Lunes,18:00,20:00,2,SEMINARIO,QI,Albores,2º cuatrimestre de 2025
Inmunometabolismo: Principios básicos (Pèrez Leiros) ,29/09/2025-06/10/2025,,Lunes,9:00,17:00,2,SEMINARIO,,,
Nomenclatura Zoológica,03/11/2025-10/11/2025,,Lunes,9:00,17:30,2,SEMINARIO,,,
TDA/AEDIII,29/9/2025,,Lunes,17:00,21:00,2,Magna,,,
Charla Charla de Eduardo Saenz de Cabezon (Teresa Krick),10/11/2025,,Lunes,13:00,17:00,2,Magna,,,
(CBC)-BIOLOGIA-(08),,VALERANI,Lunes,13:00,16:00,2,113,CBC,,
(CBC)-BIOLOGIA-(08),,VALERANI,Lunes,17:00,20:00,2,113,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Lunes,20:00,23:00,2,113,CBC,,
(CBC)-BIOLOGIA-(08),,VALERANI,Lunes,10:00,13:00,2,205,CBC,,
(CBC)-MATEMATICA (51),,ROSSOMANDO,Lunes,14:00,17:00,2,205,CBC,,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,SKERL,Lunes,7:00,10:00,2,206,CBC,,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Lunes,10:00,13:00,2,206,CBC,,
(CBC)-ANALISIS MATEMATICO A (66),,UNICA,Lunes,14:00,17:00,2,206,CBC,,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Lunes,17:00,20:00,2,206,CBC,,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Lunes,20:00,23:00,2,206,CBC,,
